
n       HLT Path Name   Index 0 Emergency       Index 1 2.2e34  Index 2 2.0e34  Index 3 1.6e34  Index 4 1.4e34  Index 5 1.2e34  Index 6 1.0e34  Index 7 8.0e33  Index 8 5.0e33  Index 9 1.0e34 backup   Index 10 900b   Index 11 1.6e34 + ZeroBias      
219     HLT_DoubleMu4_JpsiTrk_Displaced_v15 (2110039)                                      0       1       1       1       1       1       1       1       1       1       1       1      
220     HLT_DoubleMu4_Jpsi_Displaced_v7 (2110361)                                          0       60      60      60      60      60      60      60      60      60      60      60     
221     HLT_DoubleMu4_Jpsi_NoVertexing_v7 (2110362)                                        0       240     240     240     240     240     240     240     240     240     240     240    
222     HLT_DoubleMu4_LowMassNonResonantTrk_Displaced_v15 (2110040)                        0       1       1       1       1       1       1       1       1       1       1       1      
223     HLT_DoubleMu4_Mass3p8_DZ_PFHT350_v8 (2110044)                                      0       1       1       1       1       1       1       1       1       1       1       1      
224     HLT_DoubleMu4_PsiPrimeTrk_Displaced_v15 (2110043)                                  0       1       1       1       1       1       1       1       1       1       1       1      
225     HLT_DoubleMu5_Upsilon_DoubleEle3_CaloIdL_TrackIdL_v4 (2110023)                     0       1       1       1       1       1       1       1       1       1       1       1      
226     HLT_DoublePFJets100_CaloBTagDeepCSV_p71_v2 (2110265)                               0       2       2       2       2       2       2       2       2       2       2       2      
227     HLT_DoublePFJets116MaxDeta1p6_DoubleCaloBTagDeepCSV_p71_v2 (2110268)               0       1       1       1       1       1       1       1       1       1       1       1      
228     HLT_DoublePFJets128MaxDeta1p6_DoubleCaloBTagDeepCSV_p71_v2 (2110269)               0       1       1       1       1       1       1       1       1       1       1       1      
229     HLT_DoublePFJets200_CaloBTagDeepCSV_p71_v2 (2110266)                               0       1       1       1       1       1       1       1       1       1       1       1      
230     HLT_DoublePFJets350_CaloBTagDeepCSV_p71_v2 (2110267)                               0       1       1       1       1       1       1       1       1       1       1       1      
231     HLT_DoublePFJets40_CaloBTagDeepCSV_p71_v2 (2110264)                                0       1       1       1       1       1       1       1       1       1       1       1      
232     HLT_DoublePhoton33_CaloIdL_v6 (2110054)                                            0       64      64      64      64      64      64      64      64      64      64      64     
233     HLT_DoublePhoton70_v6 (2110055)                                                    0       1       1       1       1       1       1       1       1       1       1       1      
234     HLT_DoublePhoton85_v14 (2110056)                                                   0       1       1       1       1       1       1       1       1       1       1       1      
235     HLT_DoubleTightChargedIsoPFTau35_Trk1_TightID_eta2p1_Reg_v12 (2110554)             0       1       1       1       1       1       1       1       1       1       1       1      
236     HLT_DoubleTightChargedIsoPFTau35_Trk1_eta2p1_Reg_v12 (2110550)                     0       0       0       0       0       0       0       0       0       0       0       0      
237     HLT_DoubleTightChargedIsoPFTau40_Trk1_TightID_eta2p1_Reg_v12 (2110555)             0       1       1       1       1       1       1       1       1       1       1       1      
238     HLT_DoubleTightChargedIsoPFTau40_Trk1_eta2p1_Reg_v12 (2110551)                     0       1       1       1       1       1       1       1       1       1       1       1      
239     HLT_ECALHT800_v10 (2110461)                                                        0       1       1       1       1       1       1       1       1       1       1       1      
240     HLT_EcalCalibration_v4 (2110518)                                                   1       1       1       1       1       1       1       1       1       1       1       1      
241     HLT_Ele115_CaloIdVT_GsfTrkIdT_v14 (2110444)                                        0       1       1       1       1       1       1       1       1       1       1       1      
242     HLT_Ele12_CaloIdL_TrackIdL_IsoVL_PFJet30_v18 (2110437)                             0       1       1       1       1       1       1       1       1       1       1       1      
243     HLT_Ele135_CaloIdVT_GsfTrkIdT_v7 (2110445)                                         0       1       1       1       1       1       1       1       1       1       1       1      
244     HLT_Ele145_CaloIdVT_GsfTrkIdT_v8 (2110446)                                         0       1       1       1       1       1       1       1       1       1       1       1      
245     HLT_Ele15_CaloIdL_TrackIdL_IsoVL_PFJet30_v3 (2110438)                              0       0       0       0       0       0       0       0       0       0       0       0      
246     HLT_Ele15_Ele8_CaloIdL_TrackIdL_IsoVL_v3 (2110289)                                 0       0       0       0       0       0       0       0       0       0       0       0      
247     HLT_Ele15_IsoVVVL_PFHT450_CaloBTagDeepCSV_4p5_v8 (2110394)                         0       1       1       1       1       1       1       1       1       1       1       1      
248     HLT_Ele15_IsoVVVL_PFHT450_PFMET50_v16 (2110395)                                    0       1       1       1       1       1       1       1       1       1       1       1      
249     HLT_Ele15_IsoVVVL_PFHT450_v16 (2110396)                                            0       1       1       1       1       1       1       1       1       1       1       1      
250     HLT_Ele15_IsoVVVL_PFHT600_v20 (2110398)                                            0       1       1       1       1       1       1       1       1       1       1       1      
251     HLT_Ele15_WPLoose_Gsf_v3 (2110058)                                                 0       0       0       0       0       0       0       0       0       0       0       0      
252     HLT_Ele16_Ele12_Ele8_CaloIdL_TrackIdL_v9 (2110572)                                 0       1       1       1       1       1       1       1       1       1       1       1      
253     HLT_Ele17_CaloIdM_TrackIdM_PFJet30_v16 (2110441)                                   0       1       1       1       1       1       1       1       1       1       1       1      
254     HLT_Ele17_WPLoose_Gsf_v3 (2110059)                                                 0       0       0       0       0       0       0       0       0       0       0       0      
255     HLT_Ele200_CaloIdVT_GsfTrkIdT_v8 (2110447)                                         0       1       1       1       1       1       1       1       1       1       1       1      
256     HLT_Ele20_WPLoose_Gsf_v6 (2110060)                                                 0       0       0       0       0       0       0       0       0       0       0       0      
257     HLT_Ele20_WPTight_Gsf_v6 (2110057)                                                 0       0       0       0       0       0       0       0       0       0       0       0      
258     HLT_Ele20_eta2p1_WPLoose_Gsf_v6 (2110061)                                          0       0       0       0       0       0       0       0       0       0       0       0      
259     HLT_Ele23_CaloIdL_TrackIdL_IsoVL_PFJet30_v18 (2110439)                             0       1       1       1       1       1       1       1       1       1       1       1      
260     HLT_Ele23_CaloIdM_TrackIdM_PFJet30_v18 (2110442)                                   0       1       1       1       1       1       1       1       1       1       1       1      
261     HLT_Ele23_Ele12_CaloIdL_TrackIdL_IsoVL_DZ_v19 (2110290)                            0       1       1       1       1       1       1       1       1       1       1       1      
262     HLT_Ele23_Ele12_CaloIdL_TrackIdL_IsoVL_v19 (2110291)                               0       1       1       1       1       1       1       1       1       1       1       1      
263     HLT_Ele24_eta2p1_WPTight_Gsf_LooseChargedIsoPFTau30_eta2p1_CrossL1_v13 (2110542)                0       1       1       1       1       1       1       1       1       1       1       1       
264     HLT_Ele24_eta2p1_WPTight_Gsf_LooseChargedIsoPFTau30_eta2p1_TightID_CrossL1_v13 (2110545)        0       1       1       1       1       1       1       1       1       1       1       1       
265     HLT_Ele24_eta2p1_WPTight_Gsf_MediumChargedIsoPFTau30_eta2p1_CrossL1_v13 (2110543)               0       1       1       1       1       1       1       1       1       1       1       1       
266     HLT_Ele24_eta2p1_WPTight_Gsf_MediumChargedIsoPFTau30_eta2p1_TightID_CrossL1_v13 (2110546)       0       1       1       1       1       1       1       1       1       1       1       1       
267     HLT_Ele24_eta2p1_WPTight_Gsf_TightChargedIsoPFTau30_eta2p1_CrossL1_v13 (2110544)                0       1       1       1       1       1       1       1       1       1       1       1       
268     HLT_Ele24_eta2p1_WPTight_Gsf_TightChargedIsoPFTau30_eta2p1_TightID_CrossL1_v13 (2110547)        0       1       1       1       1       1       1       1       1       1       1       1       
269     HLT_Ele250_CaloIdVT_GsfTrkIdT_v13 (2110448)                                                     0       1       1       1       1       1       1       1       1       1       1       1       
270     HLT_Ele27_Ele37_CaloIdL_MW_v4 (2110033)                                                         0       1       1       1       1       1       1       1       1       1       1       1       
271     HLT_Ele27_WPTight_Gsf_v16 (2110063)                                                             0       0       0       0       0       0       0       0       0       0       0       0       
272     HLT_Ele28_HighEta_SC20_Mass55_v13 (2110392)                                                     0       1       1       1       1       1       1       1       1       1       1       1       
273     HLT_Ele28_eta2p1_WPTight_Gsf_HT150_v13 (2110391)                                                0       1       1       1       1       1       1       1       1       1       1       1       
274     HLT_Ele300_CaloIdVT_GsfTrkIdT_v13 (2110449)                                                     0       1       1       1       1       1       1       1       1       1       1       1       
275     HLT_Ele30_eta2p1_WPTight_Gsf_CentralPFJet35_EleCleaned_v13 (2110390)                            0       1       1       1       1       1       1       1       1       1       1       1       
276     HLT_Ele32_WPTight_Gsf_L1DoubleEG_v9 (2110069)                                                   0       1       1       1       1       1       1       1       1       1       1       1       
277     HLT_Ele32_WPTight_Gsf_v15 (2110064)                                                             0       1       1       1       1       1       1       1       1       1       1       1       
278     HLT_Ele35_WPTight_Gsf_L1EGMT_v5 (2110066)                                                       0       1       1       1       1       1       1       1       1       1       1       1       
279     HLT_Ele35_WPTight_Gsf_v9 (2110065)                                                              0       1       1       1       1       1       1       1       1       1       1       1       
280     HLT_Ele38_WPTight_Gsf_v9 (2110067)                                                              0       1       1       1       1       1       1       1       1       1       1       1       
281     HLT_Ele40_WPTight_Gsf_v9 (2110068)                                                              0       1       1       1       1       1       1       1       1       1       1       1       
282     HLT_Ele50_CaloIdVT_GsfTrkIdT_PFJet165_v18 (2110443)                                             0       1       1       1       1       1       1       1       1       1       1       1       
283     HLT_Ele50_IsoVVVL_PFHT450_v16 (2110397                                                        ) 0       1       1       1       1       1       1       1       1       1       1       1       
284     HLT_Ele8_CaloIdL_TrackIdL_IsoVL_PFJet30_v16 (2110436)                                   0       1       1       1       1       1       1       1       1       1       1       1       
285     HLT_Ele8_CaloIdM_TrackIdM_PFJet30_v18 (2110440)                                         0       1       1       1       1       1       1       1       1       1       1       1       
286     HLT_HT300_Beamspot_v11 (2110071)                                                        35      35      35      35      35      35      35      35      35      35      35      35      
287     HLT_HT400_DisplacedDijet40_DisplacedTrack_v13 (2110378)                                 0       4       4       4       4       4       4       4       4       4       4       4       
288     HLT_HT425_v9 (2110374)                                                                  0       512     512     512     512     512     512     512     512     512     512     512     
289     HLT_HT430_DisplacedDijet40_DisplacedTrack_v13 (2110375)                                 0       1       1       1       1       1       1       1       1       1       1       1       
290     HLT_HT430_DisplacedDijet60_DisplacedTrack_v13 (2110377)                                 0       1       1       1       1       1       1       1       1       1       1       1       
291     HLT_HT450_Beamspot_v11 (2110070)                                                        0       0       0       0       0       0       0       0       0       0       0       0       
292     HLT_HT500_DisplacedDijet40_DisplacedTrack_v13 (2110376)                                 0       1       1       1       1       1       1       1       1       1       1       1       
293     HLT_HT550_DisplacedDijet60_Inclusive_v13 (2110380)                                      0       16      16      16      16      16      16      16      16      16      16      16      
294     HLT_HT650_DisplacedDijet60_Inclusive_v13 (2110379)                                      0       1       1       1       1       1       1       1       1       1       1       1       
295     HLT_HcalCalibration_v5 (2110519)                                                        1       1       1       1       1       1       1       1       1       1       1       1       
296     HLT_HcalIsolatedbunch_v5 (2110527)                                                      1       1       1       1       1       1       1       1       1       1       1       1       
297     HLT_HcalNZS_v13 (2110525)                                                               1       1       1       1       1       1       1       1       1       1       1       1       
298     HLT_HcalPhiSym_v15 (2110526)                                                            1       1       1       1       1       1       1       1       1       1       1       1       
299     HLT_IsoMu20_eta2p1_LooseChargedIsoPFTau27_eta2p1_CrossL1_v12 (2110073)                  0       1       1       1       1       1       1       1       1       1       1       1       
300     HLT_IsoMu20_eta2p1_LooseChargedIsoPFTau27_eta2p1_TightID_CrossL1_v12 (2110076)          0       1       1       1       1       1       1       1       1       1       1       1       
301     HLT_IsoMu20_eta2p1_LooseChargedIsoPFTauHPS27_eta2p1_CrossL1_v3 (2110583)                0       1       1       1       1       1       1       1       1       1       1       1       
302     HLT_IsoMu20_eta2p1_MediumChargedIsoPFTau27_eta2p1_CrossL1_v12 (2110074)                 0       1       1       1       1       1       1       1       1       1       1       1       
303     HLT_IsoMu20_eta2p1_MediumChargedIsoPFTau27_eta2p1_TightID_CrossL1_v12 (2110077)         0       1       1       1       1       1       1       1       1       1       1       1       
304     HLT_IsoMu20_eta2p1_TightChargedIsoPFTau27_eta2p1_CrossL1_v12 (2110075)                  0       1       1       1       1       1       1       1       1       1       1       1       
305     HLT_IsoMu20_eta2p1_TightChargedIsoPFTau27_eta2p1_TightID_CrossL1_v12 (2110078)          0       1       1       1       1       1       1       1       1       1       1       1       
306     HLT_IsoMu20_v15 (2110079)                                                               0       1       1       1       1       1       1       1       1       1       1       1       
307     HLT_IsoMu24_eta2p1_MediumChargedIsoPFTau35_Trk1_TightID_eta2p1_Reg_CrossL1_v12 (2110    0       1       1       1       1       1       1       1       1       1       1       1       
308     HLT_IsoMu24_eta2p1_MediumChargedIsoPFTau35_Trk1_eta2p1_Reg_CrossL1_v12 (2110568)        0       1       1       1       1       1       1       1       1       1       1       1       
309     HLT_IsoMu24_eta2p1_MediumChargedIsoPFTau50_Trk30_eta2p1_1pr_v12 (2110556)               0       1       1       1       1       1       1       1       1       1       1       1       
310     HLT_IsoMu24_eta2p1_MediumChargedIsoPFTauHPS35_Trk1_eta2p1_Reg_CrossL1_v3 (2110584)      0       1       1       1       1       1       1       1       1       1       1       1       
311     HLT_IsoMu24_eta2p1_TightChargedIsoPFTau35_Trk1_TightID_eta2p1_Reg_CrossL1_v12 (2110571) 0       1       1       1       1       1       1       1       1       1       1       1       
312     HLT_IsoMu24_eta2p1_TightChargedIsoPFTau35_Trk1_eta2p1_Reg_CrossL1_v12 (2110570)         0       1       1       1       1       1       1       1       1       1       1       1       
313     HLT_IsoMu24_eta2p1_v15 (2110081)                                                        0       1       1       1       1       1       1       1       1       1       1       1       
314     HLT_IsoMu24_v13 (2110080)                                                               0       1       1       1       1       1       1       1       1       1       1       1       
315     HLT_IsoMu27_LooseChargedIsoPFTau20_Trk1_eta2p1_SingleL1_v5 (2110579)                    0       1       1       1       1       1       1       1       1       1       1       1       
316     HLT_IsoMu27_MET90_v3 (2110582)                                                          0       1       1       1       1       1       1       1       1       1       1       1       
317     HLT_IsoMu27_MediumChargedIsoPFTau20_Trk1_eta2p1_SingleL1_v5 (2110580)                   0       1       1       1       1       1       1       1       1       1       1       1       
318     HLT_IsoMu27_TightChargedIsoPFTau20_Trk1_eta2p1_SingleL1_v5 (2110581)                    0       1       1       1       1       1       1       1       1       1       1       1       
319     HLT_IsoMu27_v16 (2110082)                                                               0       1       1       1       1       1       1       1       1       1       1       1       
320     HLT_IsoMu30_v4 (2110083)                                                                0       1       1       1       1       1       1       1       1       1       1       1       
321     HLT_IsoTrackHB_v4 (2110528)                                                             1       1       1       1       1       1       1       1       1       1       1       1       
322     HLT_IsoTrackHE_v4 (2110529)                                                             1       1       1       1       1       1       1       1       1       1       1       1       
323     HLT_L1ETMHadSeeds_v2 (2110234)                                                          0       1024    1024    1024    1024    1024    1024    1024    1024    1024    1024    1024    
324     HLT_L1NotBptxOR_v3 (2110523)                                                            0       0       0       0       0       0       0       0       0       0       0       0       
325     HLT_L1SingleMu18_v3 (2110088)                                                           0       125     125     125     125     125     125     125     125     125     125     125     
326     HLT_L1SingleMu25_v2 (2110089)                                                           0       18000   18000   18000   18000   18000   18000   18000   18000   18000   18000   18000   
327     HLT_L1UnpairedBunchBptxMinus_v2 (2110521)                                               0       0       0       0       0       0       0       0       0       0       0       0       
328     HLT_L1UnpairedBunchBptxPlus_v2 (2110522)                                                0       0       0       0       0       0       0       0       0       0       0       0       
329     HLT_L1_CDC_SingleMu_3_er1p2_TOP120_DPHI2p618_3p142_v2 (2110524)                         0       1       1       1       1       1       1       1       1       1       1       1       
330     HLT_L2Mu10_NoVertex_NoBPTX3BX_v5 (2110091)                                              0       80      80      80      80      80      80      80      80      80      80      80      
331     HLT_L2Mu10_NoVertex_NoBPTX_v6 (2110092)                                                 0       1       1       1       1       1       1       1       1       1       1       1       
332     HLT_L2Mu10_v7 (2110090)                                                                 0       6000    6000    6000    6000    6000    6000    6000    6000    6000    6000    6000    
333     HLT_L2Mu23NoVtx_2Cha_CosmicSeed_v1 (2110097)                                            0       1       1       1       1       1       1       1       1       1       1       1       
334     HLT_L2Mu23NoVtx_2Cha_v1 (2110096)                                                       0       1       1       1       1       1       1       1       1       1       1       1       
335     HLT_L2Mu40_NoVertex_3Sta_NoBPTX3BX_v5 (2110094)                                         0       1       1       1       1       1       1       1       1       1       1       1       
336     HLT_L2Mu45_NoVertex_3Sta_NoBPTX3BX_v4 (2110093)                                         0       1       1       1       1       1       1       1       1       1       1       1       
337     HLT_L2Mu50_v2 (2110095)                                                                 0       500     500     500     500     500     500     500     500     500     500     500     
338     HLT_MET105_IsoTrk50_v9 (2110254)                                                        0       1       1       1       1       1       1       1       1       1       1       1       
339     HLT_MET120_IsoTrk50_v9 (2110255)                                                        0       1       1       1       1       1       1       1       1       1       1       1       
340     HLT_MediumChargedIsoPFTau180HighPtRelaxedIso_Trk50_eta2p1_1pr_v11 (2110564)             0       1       1       1       1       1       1       1       1       1       1       1       
341     HLT_MediumChargedIsoPFTau180HighPtRelaxedIso_Trk50_eta2p1_v12 (2110565)                 0       1       1       1       1       1       1       1       1       1       1       1       
342     HLT_MediumChargedIsoPFTau200HighPtRelaxedIso_Trk50_eta2p1_v12 (2110566)                 0       1       1       1       1       1       1       1       1       1       1       1       
343     HLT_MediumChargedIsoPFTau220HighPtRelaxedIso_Trk50_eta2p1_v12 (2110567)                 0       1       1       1       1       1       1       1       1       1       1       1       
344     HLT_MediumChargedIsoPFTau50_Trk30_eta2p1_1pr_MET100_v12 (2110558)                       0       1       1       1       1       1       1       1       1       1       1       1       
345     HLT_MediumChargedIsoPFTau50_Trk30_eta2p1_1pr_MET110_v8 (2110559)                        0       1       1       1       1       1       1       1       1       1       1       1       
346     HLT_MediumChargedIsoPFTau50_Trk30_eta2p1_1pr_MET120_v8 (2110560)                        0       1       1       1       1       1       1       1       1       1       1       1       
347     HLT_MediumChargedIsoPFTau50_Trk30_eta2p1_1pr_MET130_v8 (2110561)                        0       1       1       1       1       1       1       1       1       1       1       1       
348     HLT_MediumChargedIsoPFTau50_Trk30_eta2p1_1pr_MET140_v3 (2110562)                        0       1       1       1       1       1       1       1       1       1       1       1       
349     HLT_MediumChargedIsoPFTau50_Trk30_eta2p1_1pr_MET90_v12 (2110557)                        0       0       0       0       0       0       0       0       0       0       0       0       
350     HLT_MediumChargedIsoPFTau50_Trk30_eta2p1_1pr_v12 (2110563)                              0       1       1       1       1       1       1       1       1       1       1       1       
351     HLT_MonoCentralPFJet80_PFMETNoMu110_PFMHTNoMu110_IDTight_v20 (2110230)                  0       0       0       0       0       0       0       0       0       0       0       0       
352     HLT_MonoCentralPFJet80_PFMETNoMu120_PFMHTNoMu120_IDTight_v20 (2110231)                  0       1       1       1       1       1       1       1       1       1       1       1       
353     HLT_MonoCentralPFJet80_PFMETNoMu130_PFMHTNoMu130_IDTight_v19 (2110232)                  0       1       1       1       1       1       1       1       1       1       1       1       
354     HLT_MonoCentralPFJet80_PFMETNoMu140_PFMHTNoMu140_IDTight_v19 (2110233)                  0       1       1       1       1       1       1       1       1       1       1       1       
355     HLT_Mu10_TrkIsoVVL_DiPFJet40_DEta3p5_MJJ750_HTT350_PFMETNoMu60_v14 (2110725)            0       1       1       1       1       1       1       1       1       1       1       1       
356     HLT_Mu10p5_IP3p5_part0_v2 (2110699)                                                     0       0       0       0       0       0       0       0       0       0       0       0       p5 OR L1_SingleMu7er1p5 OR L1_SingleMu6er1p5
357     HLT_Mu10p5_IP3p5_part1_v2 (2110700)                                                     0       0       0       0       0       0       0       0       0       0       0       0       p5 OR L1_SingleMu7er1p5 OR L1_SingleMu6er1p5
358     HLT_Mu10p5_IP3p5_part2_v2 (2110701)                                                     0       0       0       0       0       0       0       0       0       0       0       0       p5 OR L1_SingleMu7er1p5 OR L1_SingleMu6er1p5
359     HLT_Mu10p5_IP3p5_part3_v2 (2110702)                                                     0       0       0       0       0       0       0       0       0       0       0       0       p5 OR L1_SingleMu7er1p5 OR L1_SingleMu6er1p5
360     HLT_Mu10p5_IP3p5_part4_v2 (2110703)                                                     0       0       0       0       0       0       0       0       0       0       0       0       p5 OR L1_SingleMu7er1p5 OR L1_SingleMu6er1p5
361     HLT_Mu10p5_IP3p5_part5_v2 (2110704)                                                     0       0       0       0       0       0       0       0       0       0       0       0       p5 OR L1_SingleMu7er1p5 OR L1_SingleMu6er1p5
362     HLT_Mu12_DoublePFJets100_CaloBTagDeepCSV_p71_v2 (2110258)                               0       1       1       1       1       1       1       1       1       1       1       1       
363     HLT_Mu12_DoublePFJets200_CaloBTagDeepCSV_p71_v2 (2110259)                               0       1       1       1       1       1       1       1       1       1       1       1       
364     HLT_Mu12_DoublePFJets350_CaloBTagDeepCSV_p71_v2 (2110260)                               0       1       1       1       1       1       1       1       1       1       1       1       
365     HLT_Mu12_DoublePFJets40MaxDeta1p6_DoubleCaloBTagDeepCSV_p71_v2 (2110261)                0       1       1       1       1       1       1       1       1       1       1       1       
366     HLT_Mu12_DoublePFJets40_CaloBTagDeepCSV_p71_v2 (2110257)                                0       1       1       1       1       1       1       1       1       1       1       1       
367     HLT_Mu12_DoublePFJets54MaxDeta1p6_DoubleCaloBTagDeepCSV_p71_v2 (2110262)                0       1       1       1       1       1       1       1       1       1       1       1       
368     HLT_Mu12_DoublePFJets62MaxDeta1p6_DoubleCaloBTagDeepCSV_p71_v2 (2110263)                0       1       1       1       1       1       1       1       1       1       1       1       
369     HLT_Mu12_DoublePhoton20_v5 (2110296)                                                    0       1       1       1       1       1       1       1       1       1       1       1        OR L1_SingleMu22 OR L1_Mu7_EG23er2p5
370     HLT_Mu12_TrkIsoVVL_Ele23_CaloIdL_TrackIdL_IsoVL_DZ_v15 (2110295)                        0       1       1       1       1       1       1       1       1       1       1       1       
371     HLT_Mu12_TrkIsoVVL_Ele23_CaloIdL_TrackIdL_IsoVL_v7 (2110294)                            0       16      16      16      16      16      16      16      16      16      16      16      
372     HLT_Mu12_v3 (2110119)                                                                   0       0       0       0       0       0       0       0       0       0       0       0       
373     HLT_Mu15_IsoVVVL_PFHT450_CaloBTagDeepCSV_4p5_v8 (2110402)                               0       1       1       1       1       1       1       1       1       1       1       1       
374     HLT_Mu15_IsoVVVL_PFHT450_PFMET50_v15 (2110403)                                          0       1       1       1       1       1       1       1       1       1       1       1       
375     HLT_Mu15_IsoVVVL_PFHT450_v15 (2110404)                                                  0       1       1       1       1       1       1       1       1       1       1       1       
376     HLT_Mu15_IsoVVVL_PFHT600_v19 (2110406)                                                  0       1       1       1       1       1       1       1       1       1       1       1       
377     HLT_Mu15_v3 (2110120)                                                                   0       0       0       0       0       0       0       0       0       0       0       0       
378     HLT_Mu17_Photon30_IsoCaloId_v6 (2110435)                                                0       1       1       1       1       1       1       1       1       1       1       1       
379     HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_DZ_Mass3p8_v5 (2110113)                                0       1       1       1       1       1       1       1       1       1       1       1       
380     HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_DZ_Mass8_v5 (2110111)                                  0       1       1       1       1       1       1       1       1       1       1       1       
381     HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_DZ_v15 (2110109)                                       0       20      20      20      20      20      20      20      20      20      20      20      
382     HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL_v14 (2110107)                                          0       20      20      20      20      20      20      20      20      20      20      20      
383     HLT_Mu17_TrkIsoVVL_v13 (2110278)                                                        0       1       1       1       1       1       1       1       1       1       1       1       
384     HLT_Mu17_v13 (2110433)                                                                  0       1       1       1       1       1       1       1       1       1       1       1       
385     HLT_Mu18_Mu9_DZ_v4 (2110595)                                                            0       40      40      40      40      40      40      40      40      40      40      40      
386     HLT_Mu18_Mu9_SameSign_DZ_v4 (2110593)                                                   0       1       1       1       1       1       1       1       1       1       1       1       
387     HLT_Mu18_Mu9_SameSign_v4 (2110592)                                                      0       1       1       1       1       1       1       1       1       1       1       1       
388     HLT_Mu18_Mu9_v4 (2110594)                                                               0       40      40      40      40      40      40      40      40      40      40      40      
389     HLT_Mu19_TrkIsoVVL_Mu9_TrkIsoVVL_DZ_Mass3p8_v3 (2110114)                                0       1       1       1       1       1       1       1       1       1       1       1       
390     HLT_Mu19_TrkIsoVVL_Mu9_TrkIsoVVL_DZ_Mass8_v3 (2110112)                                  0       1       1       1       1       1       1       1       1       1       1       1       
391     HLT_Mu19_TrkIsoVVL_Mu9_TrkIsoVVL_DZ_v3 (2110110)                                        0       20      20      20      20      20      20      20      20      20      20      20      
392     HLT_Mu19_TrkIsoVVL_Mu9_TrkIsoVVL_v3 (2110108)                                           0       20      20      20      20      20      20      20      20      20      20      20      
393     HLT_Mu19_TrkIsoVVL_v4 (2110279)                                                         0       1       1       1       1       1       1       1       1       1       1       1       
394     HLT_Mu19_v4 (2110434)                                                                   0       1       1       1       1       1       1       1       1       1       1       1       
395     HLT_Mu20_Mu10_DZ_v4 (2110599)                                                           0       40      40      40      40      40      40      40      40      40      40      40      
396     HLT_Mu20_Mu10_SameSign_DZ_v4 (2110597)                                                  0       1       1       1       1       1       1       1       1       1       1       1       
397     HLT_Mu20_Mu10_SameSign_v4 (2110596)                                                     0       1       1       1       1       1       1       1       1       1       1       1       
398     HLT_Mu20_Mu10_v4 (2110598)                                                              0       40      40      40      40      40      40      40      40      40      40      40      
399     HLT_Mu20_TkMu0_Phi_v8 (2110117)                                                         0       0       0       0       0       0       0       0       0       0       0       0       
400     HLT_Mu20_v12 (2110121)                                                                  0       5       5       5       5       5       5       5       5       5       5       5       
401     HLT_Mu23_Mu12_DZ_v4 (2110603)                                                           0       20      20      20      20      20      20      20      20      20      20      20      
402     HLT_Mu23_Mu12_SameSign_DZ_v4 (2110601)                                                  0       1       1       1       1       1       1       1       1       1       1       1       
403     HLT_Mu23_Mu12_SameSign_v4 (2110600)                                                     0       1       1       1       1       1       1       1       1       1       1       1       
404     HLT_Mu23_Mu12_v4 (2110602)                                                              0       20      20      20      20      20      20      20      20      20      20      20      
405     HLT_Mu23_TrkIsoVVL_Ele12_CaloIdL_TrackIdL_IsoVL_DZ_v15 (2110292)                        0       1       1       1       1       1       1       1       1       1       1       1       
406     HLT_Mu23_TrkIsoVVL_Ele12_CaloIdL_TrackIdL_IsoVL_v7 (2110293)                            0       1       1       1       1       1       1       1       1       1       1       1       
407     HLT_Mu25_TkMu0_Onia_v8 (2110115)                                                        0       0       0       0       0       0       0       0       0       0       0       0       
408     HLT_Mu25_TkMu0_Phi_v8 (2110118)                                                         0       1       1       1       1       1       1       1       1       1       1       1       
409     HLT_Mu27_Ele37_CaloIdL_MW_v5 (2110034)                                                  0       1       1       1       1       1       1       1       1       1       1       1       
410     HLT_Mu27_v13 (2110122)                                                                  0       500     500     500     500     500     500     500     500     500     500     500     
411     HLT_Mu30_TkMu0_Onia_v8 (2110116)                                                        0       1       1       1       1       1       1       1       1       1       1       1       
412     HLT_Mu37_Ele27_CaloIdL_MW_v5 (2110035)                                                  0       1       1       1       1       1       1       1       1       1       1       1       
413     HLT_Mu37_TkMu27_v5 (2110036)                                                            0       1       1       1       1       1       1       1       1       1       1       1       
414     HLT_Mu38NoFiltersNoVtxDisplaced_Photon38_CaloIdL_v1 (2110368)                           0       1       1       1       1       1       1       1       1       1       1       1       
415     HLT_Mu3_PFJet40_v16 (2110045)                                                           0       1       1       1       1       1       1       1       1       1       1       1       
416     HLT_Mu3er1p5_PFJet100er2p5_PFMET100_PFMHT100_IDTight_v2 (2110410)                       0       1       1       1       1       1       1       1       1       1       1       1      
417     HLT_Mu3er1p5_PFJet100er2p5_PFMET70_PFMHT70_IDTight_v2 (2110407)                         0       180     180     180     180     180     180     180     180     180     180     180    
418     HLT_Mu3er1p5_PFJet100er2p5_PFMET80_PFMHT80_IDTight_v2 (2110408)                         0       1       1       1       1       1       1       1       1       1       1       1      
419     HLT_Mu3er1p5_PFJet100er2p5_PFMET90_PFMHT90_IDTight_v2 (2110409)                         0       1       1       1       1       1       1       1       1       1       1       1      
420     HLT_Mu3er1p5_PFJet100er2p5_PFMETNoMu100_PFMHTNoMu100_IDTight_v2 (2110414)               0       1       1       1       1       1       1       1       1       1       1       1      
