
n       HLT Path Name   Index 0 Emergency       Index 1 2.2e34  Index 2 2.0e34  Index 3 1.6e34  Index 4 1.4e34  Index 5 1.2e34  Index 6 1.0e34  Index 7 8.0e33  Index 8 5.0e33  Index 9 1.0e34 backup   Index 10 900b   Index 11 1.6e34 + ZeroBias      
59      HLT_AK8PFJet200_v15 (2110150)                           0       1       1       1       1       1       2       3       4       2       2       1       
60      HLT_AK8PFJet25_v3 (2110145)                             0       0       0       0       0       0       0       0       0       0       0       0       
61      HLT_AK8PFJet260_v16 (2110151)                           0       128     128     128     128     128     128     128     128     128     128     128     
62      HLT_AK8PFJet320_v16 (2110152)                           0       48      48      48      48      48      48      48      48      48      48      48      
63      HLT_AK8PFJet330_TrimMass30_PFAK8BTagDeepCSV_p17_v2 (2110620)    0       1       1       1       1       1       1       1       1       1       1       1       
64      HLT_AK8PFJet330_TrimMass30_PFAK8BTagDeepCSV_p1_v2 (2110621)     0       1       1       1       1       1       1       1       1       1       1       1       
65      HLT_AK8PFJet330_TrimMass30_PFAK8BoostedDoubleB_np2_v2 (2110623) 0       1       1       1       1       1       1       1       1       1       1       1       
66      HLT_AK8PFJet330_TrimMass30_PFAK8BoostedDoubleB_np4_v2 (2110624) 0       1       1       1       1       1       1       1       1       1       1       1       
67      HLT_AK8PFJet330_TrimMass30_PFAK8BoostedDoubleB_p02_v3 (2110622) 0       1       1       1       1       1       1       1       1       1       1       1       
68      HLT_AK8PFJet360_TrimMass30_v18 (2110013)                        0       0       0       0       0       0       0       0       0       0       0       0      
69      HLT_AK8PFJet380_TrimMass30_v11 (2110014)                        0       0       0       0       0       0       0       0       0       0       0       0      
70      HLT_AK8PFJet400_TrimMass30_v12 (2110015)                        0       1       1       1       1       1       1       1       1       1       1       1      
71      HLT_AK8PFJet400_v16 (2110153)                                   0       16      16      16      16      16      16      16      16      16      16      16     
72      HLT_AK8PFJet40_v16 (2110146)                                    0       250     250     250     250     250     250     250     250     250     250     250    
73      HLT_AK8PFJet420_TrimMass30_v11 (2110016)                        0       1       1       1       1       1       1       1       1       1       1       1     
74      HLT_AK8PFJet450_v16 (2110154)                                   0       8       8       8       8       8       8       8       8       8       8       8     
75      HLT_AK8PFJet500_v16 (2110155)                                   0       1       1       1       1       1       1       1       1       1       1       1     
76      HLT_AK8PFJet550_v11 (2110156)                                   0       1       1       1       1       1       1       1       1       1       1       1     
